title,author,journal,year,source,status,reason
The impact of a forfeit-or-prize gamified teaching on e-learners learning performance,"Ge, Zi-Gang",Computers and Education,2018,El Compendex,Rejected,Not a secondary study
Introducing a revised lexical approach to study user experience in game play by analyzing online reviews,"Zhu, M. and Fang, X.",ACM International Conference Proceeding Series,2014,Scopus,Rejected,Not a secondary study
Towards Personality-driven Persuasive Health Games and Gamified Systems,"Orji, Rita and Nacke, Lennart E. and Di Marco, Chrysanne",,2017,ISI Web of Science,Rejected,Not a secondary study
"Gamification and serious games: A literature meta-analysis and
integrative model","Baptista, Goncalo and Oliveira, Tiago",COMPUTERS IN HUMAN BEHAVIOR,2019,ISI Web of Science,Duplicated,
GAMIFICATION IN MOBILE APPLICATIONS TO LEARNING PORTUGUESE AS ANADDITIONAL LANGUAGE,"Racilan, Marcos and Avelar, Silvana and Bambirra, Raquel and Valente, Valeria",,2017,ISI Web of Science,Rejected,Not a secondary study
"Persuasive technology for health and wellness: State-of-the-art and
emerging trends","Orji, Rita and Moffatt, Karyn",HEALTH INFORMATICS JOURNAL,2018,ISI Web of Science,Duplicated,
Challenging interfaces are more fun! Operant conditioning for the interaction designer,"Sorgendal, I. and Boks, C.",International Journal of Learning Technology,2014,Scopus,Rejected,Not a secondary study
Problems and procedures to make wordnet data (Retro)fit for a multilingual dictionary,"Benjamin, M.","Proceedings of the 8th Global WordNet Conference, GWC 2016",2016,Scopus,Duplicated,
"Norwegian game-based learning practices: Age, gender, game-playing and dgbl","Munkvold, Robin Isfold and Sigurdardottir, Helga Dis Isfold",Proceedings of the European Conference on Games-based Learning,2018,El Compendex,Rejected,Not a secondary study
"HORTARI: A GAMIFICATION APPLICATION FOR ENGAGED TEACHING AND LEARNING IN
HIGHER EDUCATION","Landicho, Junar A. and Dela Cerna, Anghela Perpetua A. and Marapao, Jeric James G. and Balhin, Gerwin P. and Paid, Rachelle M.",JOURNAL OF E-LEARNING AND KNOWLEDGE SOCIETY,2017,ISI Web of Science,Duplicated,
Gamification of education using computer games,"Nah, F.F.-H. and Telaprolu, V.R. and Rallapalli, S. and Venkata, P.R.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2013,Scopus,Rejected,Not a secondary study
Russia and the greater caspian basin: Withstanding the U.S. Challenge,"Kanet, R.E.",Tamkang Journal of International Affairs,2010,Scopus,Rejected,Study that does not address gamification
Crowdsourcing and gamification of enterprise meeting software quality,"Smith, R. and Kilty, L.A.","Proceedings - 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing, UCC 2014",2014,Scopus,Rejected,Not a secondary study
Workshop synthesis: Caring for the environment,"Berri, A. and Daziano, R.",Transportation Research Procedia,2015,Scopus,Rejected,Study that does not address gamification
Designing and testing an educational game about food for school-Aged children,"Henriksson, Johannes and Liukkonen, Tapani N. and Konnola, Kaisa and Vahamiko, Sanna and Makila, Tuomas","17th International Conference on Intelligent Games on Simulation, GAME-ON 2016",2016,El Compendex,Rejected,Not a secondary study
"CSEDU 2015 - 7th International Conference on Computer Supported Education, Proceedings",,"CSEDU 2015 - 7th International Conference on Computer Supported Education, Proceedings",2015,Scopus,Rejected,"Gray literature (position paper, and studies without peer-review process)"
Gamification of learning in tourism industry: A case study of Pokémon Go,"Yang, C.-C. and Tseng, Y.-C. and Sia, W.Y. and Chiu, J.-C.",ACM International Conference Proceeding Series,2018,Scopus,Rejected,Not a secondary study
"Beat the Street: A Pilot Evaluation of a Community-Wide
Gamification-Based Physical Activity Intervention","Harris, Marc Ashley",GAMES FOR HEALTH JOURNAL,2018,ISI Web of Science,Duplicated,
Gamification analysis and implementation in online learning,"Gunawan, F.E. and Jupiter",ICIC Express Letters,2018,Scopus,Rejected,Not a secondary study
"Using Game Principles in UX Research: A Board Game for Eliciting Future
User Needs","Slegers, Karin and Ruelens, Sanne and Vissers, Jorick and Duysburgh, Pieter",,2015,ISI Web of Science,Duplicated,
Measuring the Impact of Low-Cost Short-Term Virtual Reality on the UserExperience,"Alaguero, Mario and Checa, David and Bustillo, Andres",,2017,ISI Web of Science,Rejected,Not a secondary study
"Play and learn: Serious games in breaking informational barriers in
residential solar energy adoption in the United States","Rai, Varun and Beck, Ariane L.",ENERGY RESEARCH \& SOCIAL SCIENCE,2017,ISI Web of Science,Duplicated,
"GAMIFICATION IN LANGUAGE LEARNING - USING KAHOOT! AND POLL EVERYWHERE TOENGAGE, ENCOURAGE AND ASSESS STUDENTS","Evans, Christopher",,2017,ISI Web of Science,Rejected,Not a secondary study
Gamification in amanagement education: Systematic literature review and a proposal of a conceptual research model,"Leal, Carmem and Silva, Rui and Rodrigues, Ricardo",Proceedings of the European Conference on Games-based Learning,2018,El Compendex,Duplicated,
Gamification: What it is and why it matters to digital health behavior change developers,"Cugelman, B.",Journal of Medical Internet Research,2013,Scopus,Rejected,Not a secondary study
"Influence of online computer games on the academic achievement of
nontraditional undergraduate students","Turner, Patrick E. and Johnston, Elizabeth and Kebritchi, Mansureh and
Evans, Sally and Heflich, David A.",COGENT EDUCATION,2018,ISI Web of Science,Duplicated,
Experiences of mobile health in promoting physical activity: A qualitative systematic review and meta-ethnography,"Carter, D.D. and Robinson, K. and Forbes, J. and Hayes, S.",PLoS ONE,2018,Scopus,Rejected,Study that does not address gamification
"WeAreEurope: An Online Game for European Citizenship Education for
Primary School","Bratitsis, Tharrenos and Meireles, Goncalo and Neto, Catarina",,2017,ISI Web of Science,Duplicated,
How Interactivity Is Changing in Immersive Performances An Approach ofUnderstanding the Use of Interactive Technologies in Performance Art,"Bakk, Agnes Karolina",,2017,ISI Web of Science,Rejected,Not a secondary study
Gamitication: Strategies to optimize learning process and the acquisition of skills in university contexts [Gamificación: Estrategia para optimizar el proceso de aprendizaje y la adquisición de competencias en contextos universitarios],"Villalustre Martínez, L. and Del Moral Pérez, M.E.",Digital Education Review,2015,Scopus,Rejected,Not a secondary study
GAME-BASED LEARNING IN ENGLISH FOR SPECIFIC PURPOSES CLASSROOM,"Didenko, Iryna",,2017,ISI Web of Science,Rejected,Not a secondary study
Gamifying software engineering tasks based on cognitive principles: The case of code review,"Unkelos-Shpigel, N. and Hadar, I.","Proceedings - 8th International Workshop on Cooperative and Human Aspects of Software Engineering, CHASE 2015",2015,Scopus,Rejected,Not a secondary study
TOWARD MEANINGFUL ENGAGEMENT: A FRAMEWORK FOR DESIGN AND RESEARCH OFGAMIFIED INFORMATION SYSTEMS,"Liu, De and Santhanam, Radhika and Webster, Jane",MIS QUARTERLY,2017,ISI Web of Science,Rejected,Not a secondary study
"A Systematic Review and Meta-analysis of Interventions for Sexual Health
Promotion Involving Serious Digital Games","DeSmet, Ann and Shegog, Ross and Van Ryckeghem, Dimitri and Crombez, Geert and De Bourdeaudhuij, Ilse",GAMES FOR HEALTH JOURNAL,2015,ISI Web of Science,Duplicated,
The Potential of Mobile Apps for Improving Asthma Self-Management: AReview of Publicly Available and Well-Adopted Asthma Apps,"Tinschert, Peter and Jakob, Robert and Barata, Filipe and Kramer, Jan-Niklas and Kowatsch, Tobias",JMIR MHEALTH AND UHEALTH,2017,ISI Web of Science,Rejected,Study that does not address gamification
The gamification user types Hexad scale,"Tondello, G.F. and Wehbe, R.R. and Diamond, L. and Busch, M. and Marczewski, A. and Nacke, L.E.",CHI PLAY 2016 - Proceedings of the 2016 Annual Symposium on Computer-Human Interaction in Play,2016,Scopus,Duplicated,
Usability and design for augmented reality learning interfaces,"Videla Rodriguez, Jose Juan and Sanjuan Perez, Antonio and MartinezCosta, Sandra and Seoane Nolasco, Antonio",DIGITAL EDUCATION REVIEW,2017,ISI Web of Science,Rejected,Not a secondary study
Demographic differences in perceived benefits from gamification,"Koivisto, Jonna and Hamari, Juho",Computers in Human Behavior,2014,El Compendex,Duplicated,
Gaming in corporate learning environments,"Loughrey, Kevin and O'Broin, Daire",Proceedings of the European Conference on Games-based Learning,2016,El Compendex,Rejected,Not a secondary study
"Identifying Requirements for a Tool to Support Collaborative Gameful
Learning in Scalable e-Learning Environments","Hagedorn, Christiane and Haubold, Max and Renz, Jan and Meinel, Christoph",,2018,ISI Web of Science,Duplicated,
Gamification of Medication Adherence in Epilepsy,"Rahim, Mohammad Izzat Abdul and Thomas, Rhys Huw",SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,2017,ISI Web of Science,Rejected,Not a secondary study
Evaluating games: A second stage of the game development process,"Torres Castillo, Ruth and Raynor, Carolyn","MCCSIS 2018 - Multi Conference on Computer Science and Information Systems; Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2018, Game and Entertainment Technologies 2018 and Computer Graphics, Visualization, Computer Vision and Image Processing 2018",2018,El Compendex,Duplicated,
Tocky talk: A mobile phone application to help address communicative problems of engineering and technical graduates in the Philippine context,"Sadural, S.J. and Figueroa, K.G. and NicanorSison, N. and Quilab, F.M. and Boquiren, A.A. and Gonzales, K. and Tan, J. and Carreon, M. and Sugay, C.","ICCE 2018 - 26th International Conference on Computers in Education, Main Conference Proceedings",2018,Scopus,Rejected,Not a secondary study
Gamification: a systematic review of design frameworks,"Mora, Alberto and Riera, Daniel and Gonzalez, Carina and Arnedo-Moreno, Joan",JOURNAL OF COMPUTING IN HIGHER EDUCATION,2017,ISI Web of Science,Duplicated,
MOTIVATIONAL DYNAMICS OF WEARABLE ACTIVITY MONITORS,"Lyons, Elizabeth J. and Swartz, Maria C.",ACSMS HEALTH \& FITNESS JOURNAL,2017,ISI Web of Science,Rejected,Study that does not address gamification
Content-independent classroom gamification,"Cain, Chris and Taylor, Matthew E. and Anderson, Anne","ASEE Annual Conference and Exposition, Conference Proceedings",2016,El Compendex,Duplicated,
Promoting sustainable travel behaviour through the use of smartphone applications: A review and development of a conceptual model,"Andersson, A. and Winslott Hiselius, L. and Adell, E.",Travel Behaviour and Society,2018,Scopus,Rejected,Study that does not address gamification
"International Conference on Computer Science and Information Technologies, CSIT 2016",,Advances in Intelligent Systems and Computing,2017,Scopus,Duplicated,
12 - NGOs' Communication and Youth Engagement in the Digital Ecosystem,M.C. García-Galera and C. Fernández Muñoz and J. Del Olmo Barbero,,2019,Science@Direct,Rejected,Study that does not address gamification
Using Gamification to Enhance Second Language Learning,"Figueroa Flores, Jorge Francisco",DIGITAL EDUCATION REVIEW,2015,ISI Web of Science,Duplicated,
Implementing social customer relationship management A process frameworkand implications in tourism and hospitality,"Sigala, Marianna",INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,2018,ISI Web of Science,Rejected,Not a secondary study
"Deriving a Gamified Learning-Design Framework Towards Sustainable
Community Engagement and Mashable Innovations in Smart Cities:
Preliminary Findings","Lee, Chien-Sing and Wong, Kuok-Shoong Daniel",INTERNATIONAL JOURNAL OF KNOWLEDGE AND SYSTEMS SCIENCE,2018,ISI Web of Science,Duplicated,
Increasing student motivation and awareness of career opportunities through gamification,"McGuire, Adam and Broin, Daire O. and Power, Ken and White, P.J. and Deevy, Colin","Proceedings of the 11th European Conference on Games Based Learning, ECGBL 2017",2017,El Compendex,Rejected,Not a secondary study
